Label, CenterX(mils) from left corner, CenterY(mils) from left corner, Radius(mils), Suitable for Bellatrix team?
430, 3148.8, 1090.56, 16.191885986328124, No
431, 3046.4, 1090.56, 16.191885986328124, No
432, 2944.0, 1090.56, 16.191885986328124, No
433, 2851.84, 1090.56, 16.191885986328124, No
434, 2749.44, 1090.56, 16.191885986328124, No
435, 2647.04, 1090.56, 16.191885986328124, No
436, 2544.64, 1090.56, 16.191885986328124, No
437, 2442.2400000000002, 1090.56, 16.191885986328124, No
438, 2344.96, 1095.68, 20.48102294921875, No
439, 2247.68, 1090.56, 16.191885986328124, No
440, 2145.28, 1090.56, 16.191885986328124, No
441, 2042.88, 1090.56, 16.191885986328124, No
442, 1940.48, 1090.56, 16.191885986328124, No
443, 1940.48, 998.4, 16.191885986328124, No
444, 1838.08, 998.4, 16.191885986328124, No
445, 4326.4, 988.16, 16.191885986328124, No
446, 4234.24, 988.16, 16.191885986328124, No
447, 4131.84, 988.16, 16.191885986328124, No
448, 4039.6800000000003, 988.16, 16.191885986328124, No
449, 3937.28, 988.16, 16.191885986328124, No
450, 3834.88, 988.16, 16.191885986328124, No
451, 3742.7200000000003, 988.16, 16.191885986328124, No
452, 3640.32, 988.16, 16.191885986328124, No
453, 3548.16, 988.16, 16.191885986328124, No
454, 3445.76, 988.16, 16.191885986328124, No
455, 3343.36, 988.16, 16.191885986328124, No
456, 3246.08, 988.16, 15.361024169921876, No
457, 3148.8, 988.16, 16.191885986328124, No
458, 3046.4, 988.16, 16.191885986328124, No
459, 2944.0, 988.16, 16.191885986328124, No
460, 2846.7200000000003, 993.28, 20.48102294921875, No
461, 2749.44, 988.16, 16.191885986328124, No
462, 2647.04, 988.16, 16.191885986328124, No
463, 2544.64, 988.16, 16.191885986328124, No
464, 2442.2400000000002, 988.16, 16.191885986328124, No
465, 2344.96, 993.28, 20.48102294921875, No
466, 2242.56, 993.28, 20.48102294921875, No
467, 2145.28, 988.16, 16.191885986328124, No
468, 2042.88, 988.16, 16.191885986328124, No
469, 2145.28, 896.0, 16.191885986328124, No
470, 2042.88, 896.0, 16.191885986328124, No
471, 1940.48, 896.0, 16.191885986328124, No
472, 1838.08, 896.0, 16.191885986328124, No
473, 4326.4, 885.76, 16.191885986328124, No
474, 4229.12, 885.76, 15.361024169921876, No
475, 4131.84, 885.76, 16.191885986328124, No
476, 4034.56, 885.76, 15.361024169921876, No
477, 3937.28, 885.76, 16.191885986328124, No
478, 3834.88, 885.76, 16.191885986328124, No
479, 3742.7200000000003, 885.76, 16.191885986328124, No
480, 3640.32, 885.76, 16.191885986328124, No
481, 3543.04, 885.76, 15.361024169921876, No
482, 3445.76, 885.76, 16.191885986328124, No
483, 3343.36, 885.76, 16.191885986328124, No
484, 3240.96, 885.76, 16.191885986328124, No
485, 3148.8, 885.76, 16.191885986328124, No
486, 3046.4, 885.76, 16.191885986328124, No
487, 2944.0, 885.76, 16.191885986328124, No
488, 2841.6, 885.76, 16.191885986328124, No
489, 2749.44, 885.76, 16.191885986328124, No
490, 2647.04, 885.76, 16.191885986328124, No
491, 2544.64, 885.76, 16.191885986328124, No
492, 2442.2400000000002, 885.76, 16.191885986328124, No
493, 2339.84, 885.76, 16.191885986328124, No
494, 2242.56, 890.88, 20.48102294921875, No
495, 2442.2400000000002, 793.6, 16.191885986328124, No
496, 2339.84, 793.6, 16.191885986328124, No
497, 2237.44, 793.6, 16.191885986328124, No
498, 2140.16, 788.48, 20.48102294921875, No
499, 2042.88, 793.6, 16.191885986328124, No
500, 1940.48, 793.6, 16.191885986328124, No
501, 1838.08, 793.6, 16.191885986328124, No
502, 4326.4, 783.36, 16.191885986328124, No
503, 4224.0, 783.36, 16.191885986328124, No
504, 4131.84, 783.36, 16.191885986328124, No
505, 4029.44, 783.36, 16.191885986328124, No
506, 3937.28, 783.36, 16.191885986328124, No
507, 3834.88, 783.36, 16.191885986328124, No
508, 3742.7200000000003, 783.36, 16.191885986328124, No
509, 3640.32, 783.36, 16.191885986328124, No
510, 3537.92, 783.36, 16.191885986328124, No
511, 3445.76, 783.36, 16.191885986328124, No
512, 3343.36, 783.36, 16.191885986328124, No
513, 3240.96, 783.36, 16.191885986328124, No
514, 3148.8, 783.36, 16.191885986328124, No
515, 3046.4, 783.36, 16.191885986328124, No
516, 2944.0, 783.36, 16.191885986328124, No
517, 2841.6, 783.36, 16.191885986328124, No
518, 2739.2000000000003, 783.36, 16.191885986328124, No
519, 2641.92, 788.48, 20.48102294921875, No
520, 2539.52, 788.48, 20.48102294921875, No
521, 4326.4, 686.08, 15.361024169921876, No
522, 4224.0, 686.08, 15.361024169921876, No
523, 4131.84, 686.08, 15.361024169921876, No
524, 2944.0, 686.08, 15.361024169921876, No
525, 2841.6, 686.08, 15.361024169921876, No
526, 2739.2000000000003, 691.2, 16.191885986328124, No
527, 2647.04, 691.2, 16.191885986328124, No
